signature,KM_pval,KM_HZ_0.95_lower,KM_HZ,KM_HZ_0.95_upper,n_low,n_high,Cox_HZ_activation_Z,Cox_HZ_ChemotherapyYES,Cox_HZ_SubtypeBasal,Cox_HZ_SubtypeHer2,Cox_HZ_SubtypeLumA,Cox_HZ_SubtypeLumB,Cox_HZ_Subtypeclaudin-low,Cox_HZ_SubtypeNC,Cox_HZ_Cellularitymoderate,Cox_HZ_Cellularityhigh,Cox_pval_activation_Z,Cox_pval_ChemotherapyYES,Cox_pval_SubtypeBasal,Cox_pval_SubtypeHer2,Cox_pval_SubtypeLumA,Cox_pval_SubtypeLumB,Cox_pval_Subtypeclaudin-low,Cox_pval_SubtypeNC,Cox_pval_Cellularitymoderate,Cox_pval_Cellularityhigh
HCC_0_vs_p-H_FC_0,1.3857371760212e-13,1.63625109927379,1.96306702631758,2.35515939547769,933,1047,1.09406923542658,2.08657804766657,1.2647308427017,1.61587201938959,0.580508789470545,1.34509659319858,0.850691907803142,1.62534330617219,1.09322811818566,0.957468473324426,0.108627838216443,1.89214219014249e-12,0.325018280796904,0.0252415615761027,0.00804534894461388,0.159495232275869,0.479206441847028,0.505737849331001,0.587237081605466,0.791332765073659
HCC_0_vs_p-H_FC_1,9.96442135685533e-11,1.47678224075096,1.75527176914689,2.08627846309781,1261,719,1.05578735120256,2.13604568780676,1.36279429586592,1.66082020078732,0.587322231164375,1.42183443866484,0.860782592737312,1.63179143565096,1.09820679982211,0.971922750131238,0.292339541746212,2.23042256910675e-13,0.182669591143583,0.0183069238385223,0.00943269455019333,0.0876574109588389,0.514227203242125,0.502374536651148,0.568592581283776,0.862249564842963
HCC_0_vs_p-H_FC_2,0.00231840754991521,1.1000833097503,1.30857996368621,1.55659258365594,1215,765,1.02796089746492,2.14494048088263,1.49522512081709,1.73760051251848,0.590440991495096,1.47671443760235,0.886238248854668,1.63074810868582,1.10797905980436,0.989757230329926,0.534098396866649,1.75239843458346e-13,0.0572487149773038,0.00808862244732454,0.0102075254636124,0.0527067821450925,0.594827425328904,0.503406249320101,0.531732159834773,0.949553067549286
HCC_0_vs_p-H_UP_FC_0,2.81437874079974e-12,1.56563417487254,1.87217511123806,2.23873475898327,1445,535,1.08151659617279,2.07417218634049,1.31423832991696,1.66395686444933,0.585456592303736,1.37943666380216,0.865006987104099,1.65357933827601,1.09926031639722,0.967549469373782,0.150352939765699,4.34012462376377e-12,0.239155576320243,0.0159552314907724,0.0089902188063088,0.121448347387135,0.52349715839485,0.490671583738435,0.563948458812921,0.840227107651387
HCC_0_vs_p-H_UP_FC_1,2.03932318445562e-18,1.80798600418981,2.15654142287765,2.57229364486769,1094,886,1.10473950744291,2.06851094881522,1.25398039449589,1.67286034851716,0.612202527117816,1.46749039360143,0.812700983593539,1.69822758523345,1.08895656106167,0.96382361309249,0.100362305379687,4.8180175336692e-12,0.34543577024798,0.01411311478201,0.0167855854006814,0.0535651701786522,0.376729217077532,0.467989044342432,0.603980131010452,0.821694681402762
HCC_0_vs_p-H_UP_FC_2,0.0379457733085247,1.01080045112916,1.21974728527906,1.4718864027847,662,1318,1.07987674634554,2.0916130159718,1.56619113913184,1.86024918991603,0.616374199199467,1.58404208527909,0.841972262622598,1.73780551095021,1.13168726627055,1.02646545112194,0.16654645212265,1.55142789594586e-12,0.0351760358689961,0.00315188894787752,0.0188278451403375,0.0220429242423563,0.455690706921436,0.449141893009693,0.450463397930602,0.872918027652214
HCC_0_vs_p-L_DOWN_FC_0,2.55330322657025e-08,1.43962579391477,1.76183335462345,2.15615528881494,676,1304,1.07378081230252,2.18326594752433,1.37878504220218,1.61663345475802,0.586327169158387,1.42670764182909,0.845174701944089,1.58157603759528,1.09964664221564,0.974185980563219,0.121378696050427,7.99165066541001e-14,0.142472653469157,0.0254602386033761,0.00916364530414919,0.0774999200232602,0.463132090209109,0.530380645507773,0.562256102113512,0.872464531605846
HCC_0_vs_p-L_DOWN_FC_1,0.00181975116767172,1.32619640830381,2.21645789656737,3.70434241602201,120,1860,1.00309637499519,2.13716745512673,1.50081363922261,1.76037674256017,0.594771908648757,1.50354424399569,0.900623698661869,1.66930380869669,1.11471498298927,0.997480464448864,0.949790532369876,3.40411440520814e-13,0.0638454335913731,0.00785606483164918,0.0120167465645518,0.0521253507960078,0.645473709552807,0.48320138349629,0.507486253431044,0.987675383957345
HCC_0_vs_p-L_DOWN_FC_2,0.0110134947015358,1.206042275758,2.54276635393925,5.36105645771152,65,1915,0.947087819428311,2.10171983113469,1.6056735142901,1.85701334232292,0.618365642125792,1.63075753947716,0.924431598246989,1.77822738947385,1.12898532208192,1.02275869613576,0.283406162091528,1.19977069574153e-12,0.0307607295273454,0.00351283742108613,0.0204622215086692,0.0200830309928773,0.728265756079037,0.431569008962134,0.459309390321074,0.890540437842477
HCC_0_vs_p-L_FC_0,7.33621471104684e-19,1.89282394052595,2.28356483124306,2.75496744670355,914,1066,1.15499874194205,2.06812387480362,1.12222145253852,1.4893783778553,0.570998218779327,1.2437668370605,0.799126346599465,1.56720247917781,1.07882462853269,0.929557217971532,0.0146201230471498,3.27144320914027e-12,0.637389090720661,0.0684671413077547,0.00634607817603736,0.306658447839666,0.332596401865626,0.53831359861456,0.644281763620118,0.657592326349295
