,genes,logfoldchange,pvals
159,NOP10,0.46843421459198,9.013565281484237e-32
160,TIMM8B,0.6200271844863892,1.0739462803490761e-31
161,SMS,0.7350137233734131,1.6205796155077218e-31
162,PSMD7,0.693240761756897,1.7203976290346824e-31
163,SDF2L1,0.6363706588745117,1.7968821375173236e-31
164,CYC1,0.6224129796028137,1.8132724803150228e-31
165,CHCHD2,0.4194015860557556,2.168913511850276e-31
166,FSCN1,0.5922945141792297,2.4204560237289226e-31
167,STRA13,0.8391702175140381,2.764738925125023e-31
168,SNRPA1,0.8159846663475037,2.976578475488392e-31
169,METRN,0.8082596063613892,3.343153669249054e-31
170,LAD1,1.058311939239502,3.6264333061658126e-31
171,ATP5G1,0.6901063323020935,5.89897271864642e-31
172,UQCC2,0.7019583582878113,8.23128008576343e-31
173,LDHB,0.39178338646888733,9.215268968279892e-31
174,NTMT1,1.0005602836608887,9.747888600544643e-31
175,MINOS1,0.5981361269950867,1.8331706943160186e-30
176,NOP56,0.8123607039451599,2.2857824567356185e-30
177,ARHGDIA,0.7627801299095154,2.8867173583936416e-30
178,PPM1G,0.6466512084007263,2.9029845105387393e-30
179,WDR43,0.9303279519081116,2.9029845105387393e-30
180,CMSS1,0.9695461392402649,3.3218869716588416e-30
181,TOMM40,1.0261478424072266,6.666703835871166e-30
182,NUDT5,0.6673054099082947,2.339808657335509e-29
183,SRSF7,0.7241679430007935,2.5223073211004142e-29
184,TUBB,0.7789938449859619,4.5485832724342496e-29
185,GTPBP4,0.8557372689247131,5.327650980885448e-29
186,DNMT1,0.8640669584274292,5.523901076840233e-29
187,CKB,0.9975114464759827,6.721716995852686e-29
188,SERBP1,0.4487265944480896,6.752513701553248e-29
189,EIF1AX,0.693311333656311,6.852006992382399e-29
190,ATP5B,0.4419301450252533,6.984802247847648e-29
191,EIF2S1,0.9211739897727966,7.653033714059439e-29
192,SNRNP25,1.0107150077819824,8.117303712546791e-29
193,MRPL12,0.8018561005592346,1.7388343572577928e-28
194,CHORDC1,0.8508870601654053,1.745157091940067e-28
195,CLTB,0.6633511185646057,2.8561995117198677e-28
196,NQO1,0.5359611511230469,4.0012634144300807e-28
197,EIF4EBP1,0.8797392249107361,5.913192552625005e-28
198,PSMA3,0.5983749628067017,6.316779052654057e-28
199,ARPC5L,0.7245272994041443,6.872968337749326e-28
200,SRSF3,0.5609477162361145,7.308617327738393e-28
201,PHLDA2,1.1134461164474487,1.0617690186771315e-27
202,ATP5J2,0.3992224335670471,1.5775702400699328e-27
203,PSMC4,1.0024775266647339,1.9071122044950244e-27
204,FOSL1,1.7929967641830444,2.002760569537436e-27
205,TXNDC17,0.5121663808822632,2.268235580244858e-27
206,PSMA5,0.6351853013038635,2.5144193926113428e-27
207,AP2S1,0.46468791365623474,3.3351014664200345e-27
208,RHOD,0.5937873721122742,3.619775176253006e-27
209,ATP5J,0.4616934061050415,3.669779908995766e-27
210,HNRNPD,0.694589376449585,4.111600446832966e-27
211,SNRPE,0.3889763057231903,4.567618931763358e-27
212,NDUFB2,0.48233267664909363,7.295018061926915e-27
213,TMEM147,0.6915543675422668,1.0376471114416026e-26
214,TPM3,0.5610599517822266,1.0855982179387563e-26
215,MRPL36,0.6832184791564941,1.1057758841946103e-26
216,GCSH,0.7746638655662537,1.2097257131172067e-26
217,PRMT1,0.5960180759429932,1.4532706790033645e-26
218,PTGES2,1.1248852014541626,1.563368829514155e-26
219,MCUR1,0.7562471628189087,1.6246713599745807e-26
220,TK1,0.8763052225112915,2.663956456101475e-26
221,AIMP2,0.9044049382209778,3.5566554464543594e-26
222,TIMM13,0.5926790237426758,3.8908773203281247e-26
223,C19orf53,0.5137094855308533,4.1957671812639094e-26
224,POLR2E,0.7289398312568665,4.375895361902992e-26
225,DYNLL1,0.322348952293396,6.003808661142505e-26
226,YWHAB,0.4731329381465912,6.097919180491398e-26
227,DDX39A,0.9907504916191101,6.214930894124285e-26
228,PAICS,0.8279749751091003,1.0015258014145859e-25
229,MRPL14,0.5746244192123413,1.0563798672931309e-25
230,MTHFD2,0.9387826323509216,1.1817569376934542e-25
231,EIF4A1,0.6941407918930054,1.4495555641300311e-25
232,SIVA1,0.6104305982589722,1.5319597726084963e-25
233,GPX1,0.4767245948314667,1.5928661548480171e-25
234,EIF3B,0.9406274557113647,2.437415623926636e-25
235,SRSF2,0.6540840268135071,2.686365657236099e-25
236,MIF,0.6495257019996643,2.809333274277294e-25
237,HSPA9,0.7825693488121033,2.853980640811994e-25
238,MRPL27,0.6811807751655579,2.894394088277336e-25
239,CTNNAL1,0.7659741640090942,3.5159743873900913e-25
240,POLR2K,0.604819118976593,3.8903367261510403e-25
241,RAC1,0.22509147226810455,5.145728029936422e-25
