,genes,logfoldchange,pvals
74,IL32,4.337716579437256,3.0908663452580514e-18
75,CYCS,0.6922377943992615,3.2401785260685072e-18
76,ARL4A,1.3364365100860596,3.920394530787417e-18
77,BCAP31,0.6542290449142456,5.1633284778254235e-18
78,CSAG1,1.027043104171753,5.422623309322821e-18
79,EIF2S1,0.9244747757911682,6.082998208346071e-18
80,PPM1G,0.7128120064735413,6.148017305097133e-18
81,CCDC174,1.5805864334106445,6.88082408464513e-18
82,THOC2,1.1877326965332031,7.148807745932238e-18
83,EIF4EBP1,0.9758992195129395,1.026735964507516e-17
84,NXT1,1.0093785524368286,1.0938698774699001e-17
85,ZNF593,0.9240055680274963,1.2440159316827938e-17
86,RIOK1,1.1970338821411133,1.75238263944529e-17
87,PDRG1,1.7111457586288452,2.5377540063747198e-17
88,PDHX,0.9641258120536804,3.086982015258518e-17
89,PPP1R15A,1.3269765377044678,4.069461980052591e-17
90,SLC3A2,0.6951723098754883,4.154718869919762e-17
91,VBP1,0.9195584058761597,6.02825752828901e-17
92,UTP14A,1.7462477684020996,1.426204474352597e-16
93,RPL10,0.4056485593318939,1.5378510416014912e-16
94,NOL7,0.5937448740005493,1.6214169827477946e-16
95,BAZ1A,1.099889874458313,1.8169077816651512e-16
96,GADD45B,2.0866875648498535,1.9037715245731705e-16
97,RRP8,1.3298447132110596,2.0314721976382492e-16
98,ZFAND2A,1.1436901092529297,3.930540189988335e-16
99,ODC1,1.0860295295715332,4.979932719097746e-16
100,RSRC2,1.1788440942764282,5.24590677352012e-16
101,MRPS30,1.0651042461395264,5.351890250670734e-16
102,ARL14EP,1.6628392934799194,6.587157040432354e-16
103,PPIF,1.2516968250274658,7.105326264444459e-16
104,CCT8,0.6643107533454895,8.022288066356243e-16
105,EIF3J,0.5865203142166138,8.364191543512945e-16
106,MRPL15,0.9342313408851624,1.1854841581837623e-15
107,RPP38,1.0926604270935059,1.2381537554833565e-15
108,TMEM14C,0.4671412408351898,1.4187502430066997e-15
109,SNU13,0.4661446511745453,1.4845321891291077e-15
110,NFE2L2,0.7179257869720459,1.6380758279208014e-15
111,CHAC1,3.4379513263702393,1.747876017867275e-15
112,EDF1,0.39122748374938965,1.853966194964063e-15
113,KLF6,1.1932833194732666,2.0053397073888014e-15
114,CCDC85B,0.721698522567749,2.556216334183706e-15
115,C1orf27,1.4147223234176636,2.5662240571713457e-15
116,RABGGTB,1.2938883304595947,2.637366596249027e-15
117,GGNBP2,1.0102853775024414,2.9304288842107695e-15
118,LVRN,2.2668049335479736,3.1679652344858585e-15
119,MAGEA3,1.4223618507385254,3.287339822970295e-15
120,MAGEA4,0.8355388641357422,3.581053539578809e-15
121,FAM58A,1.2292777299880981,3.870399219355701e-15
122,MAD1L1,1.5430070161819458,4.272891342171373e-15
123,MAP1LC3B,0.8578795194625854,4.407454536540198e-15
124,CCNB1IP1,1.437070608139038,5.066460243885273e-15
125,ORC6,1.2921327352523804,5.13548210251428e-15
126,SURF2,0.9866939187049866,5.452443504878808e-15
127,TUBB2B,2.0500593185424805,5.569480246215393e-15
128,RBMX2,1.2219239473342896,5.958566337327954e-15
129,AARS,1.2225836515426636,6.5359905366043354e-15
130,SRSF3,0.6260299682617188,6.766436323866487e-15
131,FAM127B,1.0707807540893555,7.321612325312015e-15
132,RPL22L1,1.0972870588302612,7.378118003959754e-15
133,PSMA1,0.4092639088630676,7.652435701938827e-15
134,TOMM40,0.9572676420211792,7.800820413071327e-15
135,CHAC2,1.4547021389007568,8.504359892581436e-15
136,PMAIP1,1.9859886169433594,1.1011293012352818e-14
137,SBDS,0.8714441657066345,1.1794501121558136e-14
138,LINC00662,1.0184564590454102,1.3349856426520584e-14
139,CIRBP,0.929237425327301,2.1206494932644183e-14
140,MRPL21,0.6637526750564575,2.1939996934186338e-14
141,REXO4,1.2027738094329834,2.2316049956491608e-14
142,CLSPN,1.2416927814483643,2.4156488374359915e-14
143,DPH3,1.113508939743042,2.4616234815062402e-14
144,RSL1D1,0.6155080199241638,2.49902191874156e-14
145,HIST1H4C,1.278409481048584,2.679387626185783e-14
146,ATP6V0B,0.6868581175804138,2.8243346018364876e-14
147,TOP1,1.0128662586212158,3.227349145350329e-14
148,SRSF7,0.6595636010169983,3.584653332690974e-14
149,FTSJ2,0.9899709820747375,3.742426355660072e-14
150,NOB1,1.1223762035369873,4.9340446501919166e-14
151,H1F0,1.3780627250671387,4.9709567023808055e-14
152,RPF2,1.1174041032791138,4.989514410800213e-14
153,UPF3B,1.1336383819580078,5.1692447727802617e-14
