,genes,logfoldchange,pvals
73,NDUFS6,-0.7950366735458374,2.187111182217442e-63
74,KRT6A,-0.7944279909133911,1.2945904648893412e-16
75,HSPB1,-0.7923800349235535,9.123368143086103e-70
76,IFI6,-0.7820774912834167,0.014878444713782638
77,AGR2,-0.7794491052627563,9.531159573514529e-12
78,RASGEF1A,-0.7706282138824463,0.0062361967356076254
79,CD24,-0.7695189714431763,6.625169100834552e-25
80,DLGAP4,-0.7675840258598328,0.0282179003924222
81,SCD,-0.7666542530059814,5.6057421459465864e-08
82,DCTN1,-0.7590034008026123,0.00030763768899343043
83,GABARAPL1,-0.7533273696899414,6.652685112724947e-06
84,FAM134B,-0.7483320236206055,0.035057615665966914
85,MSN,-0.7415939569473267,1.7148064797222307e-10
86,ZFP36L2,-0.7390130162239075,4.3320451137026765e-12
87,SDHA,-0.7151275873184204,1.4102601451123558e-17
88,CYBRD1,-0.7128589153289795,0.014731424077060764
89,RP11-20D14.6,-0.7100427746772766,3.7788113286353723e-06
90,ZNF385A,-0.70228511095047,0.03179283141784718
91,CTSH,-0.7013996839523315,2.9368530877975487e-07
92,SAMD9,-0.6985381245613098,7.967872538816062e-08
93,CLPTM1L,-0.6933216452598572,7.434820759973712e-07
94,ELF3,-0.6932645440101624,6.251640596787022e-06
95,SMYD3,-0.6901183724403381,0.012672609821520442
96,SH3KBP1,-0.6887161135673523,0.001358490539056966
97,IDH1,-0.6794797778129578,6.409322312133724e-05
98,FBLIM1,-0.6784923076629639,0.007766822232202291
99,ZBED2,-0.6743607521057129,0.027474693350676
100,TNNT1,-0.673250138759613,9.03023785089206e-16
101,BMP4,-0.6484835743904114,0.041310978947268324
102,CSTA,-0.645864725112915,4.5226943267136135e-15
103,MEIS2,-0.6428635716438293,0.0160664470577415
104,C5orf38,-0.6412356495857239,2.4289509347038362e-08
105,HIST1H2BH,-0.6349520087242126,0.03563501330072455
106,MX2,-0.6343904137611389,0.01742460720254256
107,CHD3,-0.6321915984153748,1.6476914707866643e-07
108,SNAP23,-0.6310098171234131,0.003072496888112154
109,CDH18,-0.6257714033126831,0.0066491595091413775
110,CALD1,-0.6233007311820984,5.0177502082954065e-18
111,RP11-295G20.2,-0.6050122380256653,1.4332497543835322e-07
112,AHNAK2,-0.602234423160553,5.214586858426518e-07
