,genes,logfoldchange,pvals
203,RP11-307P5.1,-0.3871309459209442,0.00027359154721963403
204,SAMD9,-0.38693124055862427,3.8913329424751636e-05
205,TPT1,-0.38588741421699524,6.47151497851894e-86
206,ZFAS1,-0.3838239908218384,1.8272276912126903e-26
207,SERPINB1,-0.38255757093429565,0.0004925574474014347
208,TUBA1A,-0.3819783329963684,0.019620810340528767
209,EIF3L,-0.38036850094795227,2.458989021645013e-18
210,SAT2,-0.37914910912513733,1.4605253923290977e-05
211,AHNAK2,-0.37609171867370605,2.1585203019191337e-06
212,SLC25A6,-0.37545931339263916,2.389634358130898e-22
213,BTG1,-0.3726167678833008,1.8906259394900024e-09
214,LLNLR-245B6.1,-0.37113818526268005,6.353460033251468e-11
215,NUCB1,-0.3707807660102844,1.2752802397996143e-09
216,PSMB9,-0.3707120418548584,4.264713782057339e-09
217,FAM3C,-0.36969929933547974,6.282370406216977e-06
218,MSLN,-0.36837854981422424,2.904272528809598e-10
219,TFDP2,-0.36795419454574585,0.03409211812803561
220,HLA-E,-0.36513271927833557,4.227204574235144e-09
221,EIF3F,-0.3648551404476166,1.8112552351885502e-12
222,ATP5G2,-0.3604137599468231,2.2896795688043167e-19
223,TMEM59,-0.3578748106956482,1.608567541380646e-17
224,RPL6,-0.35581427812576294,3.4326328622927744e-62
225,POLR1D,-0.3550804853439331,1.2528220444738925e-25
226,PLAU,-0.3537712097167969,0.026742676143740686
227,REL,-0.3502674400806427,0.039489084119786556
228,KMT2E,-0.3486943244934082,3.7063850785819204e-05
229,ID3,-0.34762898087501526,1.7864306430868583e-17
230,RPL31,-0.3473908305168152,5.811906488442852e-73
231,TAPBP,-0.3418825566768646,0.00011415150334997311
232,N4BP2L2,-0.33998873829841614,3.2598721041343116e-13
233,POLR2J3,-0.33869096636772156,9.852169076446168e-10
234,RPL10A,-0.3373969793319702,1.4992192304080028e-60
235,ID2,-0.3367208242416382,7.815254143641207e-05
236,CERCAM,-0.3363472819328308,0.025339253141867874
237,PHF3,-0.3349563777446747,0.03262849796653323
238,FTH1,-0.3323511779308319,5.574322578406449e-19
239,ATRX,-0.33192548155784607,1.9016446091070532e-05
240,ALKBH7,-0.33070141077041626,1.5542385238788532e-08
241,PSMB8,-0.3305092751979828,3.7019400901908e-08
242,CUEDC2,-0.3293684124946594,2.2802180579357815e-05
243,GABARAPL1,-0.3283693492412567,0.023147431335388453
244,GOLGB1,-0.328156054019928,5.85796905715751e-05
245,VPS51,-0.3279277980327606,1.1475043709011575e-05
246,CCNDBP1,-0.32780933380126953,0.0003292510165685671
247,CRELD1,-0.32534125447273254,0.0006164405265487992
248,FAM71E1,-0.3242611289024353,3.559626440523121e-12
249,CCNL1,-0.32392609119415283,0.03902026119782171
250,CEP350,-0.3217760920524597,0.0038586820684224656
251,VIT,-0.3204628825187683,0.0417134292422563
252,LRP10,-0.3200836479663849,0.00317496676262438
253,COMMD6,-0.3184339106082916,6.3344184049040855e-22
254,TMSB4X,-0.31716975569725037,1.2665177251689594e-34
255,MARCKSL1,-0.3150288462638855,0.008471747886859957
256,VMP1,-0.3134523928165436,1.3668871506869259e-05
257,ZNF580,-0.3133375644683838,0.000389561472395841
258,TOR1AIP2,-0.3116708993911743,9.418180861302357e-05
259,RPL3,-0.31035807728767395,1.2408854199543155e-52
260,B2M,-0.3095635771751404,3.607417297851319e-36
261,MAGED2,-0.30945801734924316,0.002801395105717691
262,UBE2D1,-0.3073975443840027,0.004037472748512846
263,RPS11,-0.30668094754219055,1.135223437649027e-60
264,PRCP,-0.30592280626296997,0.003524346443811599
265,HLA-B,-0.30370059609413147,4.471328058910625e-16
266,TNNT1,-0.3035929799079895,4.630207521274039e-07
267,RPS4X,-0.30094653367996216,1.616367431936673e-55
268,ADD3,-0.30048221349716187,0.037559882893854604
269,TTC3,-0.2984766662120819,9.147312341267698e-07
270,MT-ND3,-0.29836538434028625,3.050504979763135e-49
271,CXXC5,-0.29687926173210144,0.011497424427854732
272,RPL28,-0.29672709107398987,5.09925643711467e-65
273,DDX17,-0.2954869270324707,3.3108723912902444e-05
274,ASAH1,-0.29498979449272156,0.033343324060579105
275,RPS15A,-0.2907012701034546,1.8331496981962617e-64
276,OSBPL9,-0.28981813788414,0.009776501684940113
277,PGLS,-0.2888428568840027,3.832784889675949e-05
278,RPL5,-0.28807204961776733,9.162285717065755e-39
279,C10orf54,-0.28716716170310974,0.0012184096641388057
280,ANXA11,-0.28687024116516113,9.613240181577012e-14
281,CAMLG,-0.282685786485672,0.023609162455882498
282,SYF2,-0.2805390954017639,3.710587198205425e-07
283,GNB2L1,-0.27861297130584717,1.0732036502491641e-36
284,AKR1A1,-0.2752842307090759,0.0037962760343516924
285,SYNE2,-0.2752307057380676,0.010528159455835106
286,FAM60A,-0.27309656143188477,0.0005937803169674042
287,RPL26,-0.27307236194610596,2.5486391930994092e-57
